complexity,method,blocks,ari_mean,ari_median,boundary_f1_mean,cover_gt_mean,pred_regions_total,gt_regions_total
all,hybrid_raw_infra,10,0.24410362991690587,0.02492725490212249,0.1881064137858025,0.567444255498739,39,26
all,infra_candidate,10,0.1124169365277814,0.02552597012632366,0.12541329178456445,0.3190374647625337,91,26
all,infra_candidate_coarse,10,0.13476561832242231,0.012252482219437906,0.12305362094873165,0.4060850175573604,48,26
all,mean_shift_watershed,10,0.20805713550728572,0.014239975249032723,0.09718267235372882,0.6333808328849955,41,26
all,merge_to_one,10,0.5,0.5,0.5,0.7561080235150701,10,26
all,raw_led_refined,10,0.2362040632067056,0.012362685475030076,0.1413557743278945,0.6504977612514268,52,26
all,raw_v3_warp,10,0.20385983278127578,0.011576647955601808,0.09940936443363477,0.631075209915698,39,26
all,selective_hybrid_v4_smooth,10,0.7669310849207985,0.9273499647357817,0.6972249588271335,0.8549447365988035,27,26
all,watershed_raw_led_seed,10,0.23969868443169712,0.014239975249032723,0.1401955474262499,0.6508128845125111,52,26
all,watershed_raw_seed,10,0.20728721241892875,0.011385402198127758,0.1003376306661822,0.6318555870239206,39,26
complex_gt_gt1,hybrid_raw_infra,5,0.48820725983381175,0.5411282024745199,0.376212827571605,0.6218306829419129,18,21
complex_gt_gt1,infra_candidate,5,0.2248338730555628,0.13229798799109488,0.2508265835691289,0.40794058773246167,41,21
complex_gt_gt1,infra_candidate_coarse,5,0.26953123664484463,0.2365949450766902,0.2461072418974633,0.4972101240866662,22,21
complex_gt_gt1,mean_shift_watershed,5,0.41611427101457144,0.4028203110168788,0.19436534470745764,0.6433220079582537,17,21
complex_gt_gt1,merge_to_one,5,0.0,0.0,0.0,0.5122160470302647,5,21
complex_gt_gt1,raw_led_refined,5,0.4724081264134112,0.5510672191442332,0.282711548655789,0.6837843307604745,23,21
complex_gt_gt1,raw_v3_warp,5,0.40771966556255157,0.40533557366878026,0.19881872886726953,0.640316596941682,18,21
complex_gt_gt1,selective_hybrid_v4_smooth,5,0.5338621698415971,0.6148295401567038,0.3944499176542671,0.7098894731977317,22,21
complex_gt_gt1,watershed_raw_led_seed,5,0.47939736886339424,0.54665958528751,0.2803910948524998,0.6847659183070741,23,21
complex_gt_gt1,watershed_raw_seed,5,0.4145744248378575,0.4028203110168788,0.2006752613323644,0.6417845808515104,18,21
single_gt,hybrid_raw_infra,5,0.0,0.0,0.0,0.5130578280555651,21,5
single_gt,infra_candidate,5,0.0,0.0,0.0,0.23013434179260575,50,5
single_gt,infra_candidate_coarse,5,0.0,0.0,0.0,0.3149599110280547,26,5
single_gt,mean_shift_watershed,5,0.0,0.0,0.0,0.6234396578117374,24,5
single_gt,merge_to_one,5,1.0,1.0,1.0,0.9999999999998754,5,5
single_gt,raw_led_refined,5,0.0,0.0,0.0,0.6172111917423792,29,5
single_gt,raw_v3_warp,5,0.0,0.0,0.0,0.6218338228897141,21,5
single_gt,selective_hybrid_v4_smooth,5,1.0,1.0,1.0,0.9999999999998754,5,5
single_gt,watershed_raw_led_seed,5,0.0,0.0,0.0,0.616859850717948,29,5
single_gt,watershed_raw_seed,5,0.0,0.0,0.0,0.621926593196331,21,5
