method,blocks,ari_mean,ari_median,boundary_f1_mean,cover_gt_mean,pred_regions_total,gt_regions_total
hybrid_raw_infra,10,0.24410362991690587,0.02492725490212249,0.1881064137858025,0.567444255498739,39,26
infra_candidate,10,0.1124169365277814,0.02552597012632366,0.12541329178456445,0.3190374647625337,91,26
infra_candidate_coarse,10,0.13476561832242231,0.012252482219437906,0.12305362094873165,0.4060850175573604,48,26
mean_shift_watershed,10,0.20805713550728572,0.014239975249032723,0.09718267235372882,0.6333808328849955,41,26
merge_to_one,10,0.5,0.5,0.5,0.7561080235150701,10,26
raw_led_refined,10,0.2362040632067056,0.012362685475030076,0.1413557743278945,0.6504977612514268,52,26
raw_v3_warp,10,0.20385983278127578,0.011576647955601808,0.09940936443363477,0.631075209915698,39,26
selective_hybrid_v4_smooth,10,0.7669310849207985,0.9273499647357817,0.6972249588271335,0.8549447365988035,27,26
watershed_raw_led_seed,10,0.23969868443169712,0.014239975249032723,0.1401955474262499,0.6508128845125111,52,26
watershed_raw_seed,10,0.20728721241892875,0.011385402198127758,0.1003376306661822,0.6318555870239206,39,26
