alpha,folds,cv_exact_acc,cv_within1_acc,cv_large_error_rate,cv_mae,cv_macro_f1,cv_review_rate,cv_kept_exact_acc
1.0,4,0.738339964633068,0.9935344827586207,0.00646551724137931,0.2681255526083112,0.7318499941564076,0.11155319776009431,0.751138376779751
0.3,4,0.7362032124963158,0.9935344827586207,0.00646551724137931,0.27026230474506335,0.7251143626946308,0.1051429413498379,0.7556805726448584
3.0,4,0.7340480400825228,0.9892609784851164,0.010739021514883585,0.2766909814323607,0.733534260443737,0.1223474801061008,0.7587116260645672
10.0,4,0.7168803418803419,0.9849506336575302,0.015049366342469792,0.2981690244621279,0.7230939443171494,0.13730474506336576,0.7309509251395563
30.0,4,0.6461096374889478,0.9849506336575302,0.015049366342469792,0.36893972885352194,0.6625664968630234,0.13947833775419982,0.6635391480324503
100.0,4,0.49999999999999994,0.9613542587680518,0.03864574123194813,0.5386457412319481,0.5444756722997119,0.30048997936928973,0.49997317401425867
