method,blocks,ari_mean,ari_median,boundary_f1_mean,cover_gt_mean,pred_regions_total,gt_regions_total
hybrid_raw_infra,10,0.2479098043847884,0.02492725490212249,0.20260122369846661,0.5611476423935933,39,26
infra_candidate,10,0.11327274860669383,0.03816809556350544,0.12622400491080152,0.29235326518071914,101,26
infra_candidate_coarse,10,0.13774147064614584,0.06026293787426794,0.12615039213680926,0.4042089225896679,52,26
mean_shift_watershed,10,0.20060777986440592,0.013388924978960319,0.0981994386368597,0.6303743728142023,42,26
merge_to_one,10,0.5,0.5,0.5,0.7561080235150701,10,26
raw_led_refined,10,0.22601751946874274,0.015000232263364886,0.1049274560414452,0.6445867504490562,50,26
raw_v3_warp,10,0.20385983278127578,0.011576647955601808,0.09940936443363477,0.631075209915698,39,26
selective_hybrid_v4_smooth,10,0.7804745173724142,0.9403816760980384,0.7168418778271748,0.836079456824686,28,26
watershed_raw_led_seed,10,0.2318381710057694,0.013388924978960319,0.1133226187921534,0.6469322538623307,50,26
watershed_raw_seed,10,0.20728721241892875,0.011385402198127758,0.1003376306661822,0.6318555870239206,39,26
