complexity,method,blocks,ari_mean,ari_median,boundary_f1_mean,cover_gt_mean,pred_regions_total,gt_regions_total
all,hybrid_raw_infra,10,0.2479098043847884,0.02492725490212249,0.20260122369846661,0.5611476423935933,39,26
all,infra_candidate,10,0.11327274860669383,0.03816809556350544,0.12622400491080152,0.29235326518071914,101,26
all,infra_candidate_coarse,10,0.13774147064614584,0.06026293787426794,0.12615039213680926,0.4042089225896679,52,26
all,mean_shift_watershed,10,0.20060777986440592,0.013388924978960319,0.0981994386368597,0.6303743728142023,42,26
all,merge_to_one,10,0.5,0.5,0.5,0.7561080235150701,10,26
all,raw_led_refined,10,0.22601751946874274,0.015000232263364886,0.1049274560414452,0.6445867504490562,50,26
all,raw_v3_warp,10,0.20385983278127578,0.011576647955601808,0.09940936443363477,0.631075209915698,39,26
all,selective_hybrid_v4_smooth,10,0.7804745173724142,0.9403816760980384,0.7168418778271748,0.836079456824686,28,26
all,watershed_raw_led_seed,10,0.2318381710057694,0.013388924978960319,0.1133226187921534,0.6469322538623307,50,26
all,watershed_raw_seed,10,0.20728721241892875,0.011385402198127758,0.1003376306661822,0.6318555870239206,39,26
complex_gt_gt1,hybrid_raw_infra,5,0.4958196087695768,0.5411282024745199,0.40520244739693323,0.6248244433624268,18,21
complex_gt_gt1,infra_candidate,5,0.22654549721338765,0.13229798799109488,0.25244800982160304,0.3873263170244726,48,21
complex_gt_gt1,infra_candidate_coarse,5,0.27548294129229167,0.21064312292266554,0.2523007842736185,0.48854832986164604,25,21
complex_gt_gt1,mean_shift_watershed,5,0.40121555972881184,0.4028203110168788,0.1963988772737194,0.6373090878166672,18,21
complex_gt_gt1,merge_to_one,5,0.0,0.0,0.0,0.5122160470302647,5,21
complex_gt_gt1,raw_led_refined,5,0.4520350389374855,0.5510672191442332,0.2098549120828904,0.6723766587359318,22,21
complex_gt_gt1,raw_v3_warp,5,0.40771966556255157,0.40533557366878026,0.19881872886726953,0.640316596941682,18,21
complex_gt_gt1,selective_hybrid_v4_smooth,5,0.5609490347448285,0.6148295401567038,0.43368375565434975,0.6721589136494963,23,21
complex_gt_gt1,watershed_raw_led_seed,5,0.4636763420115388,0.54665958528751,0.2266452375843068,0.6767647704076512,22,21
complex_gt_gt1,watershed_raw_seed,5,0.4145744248378575,0.4028203110168788,0.2006752613323644,0.6417845808515104,18,21
single_gt,hybrid_raw_infra,5,0.0,0.0,0.0,0.49747084142475967,21,5
single_gt,infra_candidate,5,0.0,0.0,0.0,0.19738021333696565,53,5
single_gt,infra_candidate_coarse,5,0.0,0.0,0.0,0.31986951531768976,27,5
single_gt,mean_shift_watershed,5,0.0,0.0,0.0,0.6234396578117374,24,5
single_gt,merge_to_one,5,1.0,1.0,1.0,0.9999999999998754,5,5
single_gt,raw_led_refined,5,0.0,0.0,0.0,0.6167968421621807,28,5
single_gt,raw_v3_warp,5,0.0,0.0,0.0,0.6218338228897141,21,5
single_gt,selective_hybrid_v4_smooth,5,1.0,1.0,1.0,0.9999999999998754,5,5
single_gt,watershed_raw_led_seed,5,0.0,0.0,0.0,0.6170997373170103,28,5
single_gt,watershed_raw_seed,5,0.0,0.0,0.0,0.621926593196331,21,5
