split,n,exact_acc,within1_acc,large_error_rate,mae,score_mae,macro_f1
train,466,0.5085836909871244,0.9506437768240343,0.04935622317596566,0.5429184549356223,0.6285952826572666,0.5116920024635538
test,71,0.647887323943662,0.9859154929577465,0.014084507042253521,0.36619718309859156,0.5080628595964538,0.6158613445378152
