method,blocks,ari_mean,ari_median,boundary_f1_mean,cover_gt_mean,pred_regions_total,gt_regions_total
hybrid_raw_infra,10,0.24352631491464768,0.022040679890831597,0.1865674546538349,0.5754208860728305,39,26
infra_candidate,10,0.1206629991724548,0.031233448175150197,0.12281169045588833,0.36783069738447904,78,26
infra_candidate_coarse,10,0.1437171110837509,0.02414673439401086,0.12827209332226505,0.4368145829790759,42,26
mean_shift_watershed,10,0.20785116050830127,0.014205142644990208,0.0988852464206819,0.6166176063907716,42,26
merge_to_one,10,0.5,0.5,0.5,0.7561080235150701,10,26
raw_led_refined,10,0.23062095383797412,0.01449504654763445,0.12309620467345891,0.6350165477081268,50,26
raw_v3_warp,10,0.20385983278127578,0.011576647955601808,0.09940936443363477,0.631075209915698,39,26
selective_hybrid_v4_smooth,10,0.7486908754958582,0.9273499647357817,0.639680995293735,0.8477008189059161,27,26
watershed_raw_led_seed,10,0.23227286821522006,0.014205142644990208,0.1261645396772259,0.6342780149257619,50,26
watershed_raw_seed,10,0.20728721241892875,0.011385402198127758,0.1003376306661822,0.6318555870239206,39,26
