complexity,method,blocks,ari_mean,ari_median,boundary_f1_mean,cover_gt_mean,pred_regions_total,gt_regions_total
all,hybrid_raw_infra,10,0.24352631491464768,0.022040679890831597,0.1865674546538349,0.5754208860728305,39,26
all,infra_candidate,10,0.1206629991724548,0.031233448175150197,0.12281169045588833,0.36783069738447904,78,26
all,infra_candidate_coarse,10,0.1437171110837509,0.02414673439401086,0.12827209332226505,0.4368145829790759,42,26
all,mean_shift_watershed,10,0.20785116050830127,0.014205142644990208,0.0988852464206819,0.6166176063907716,42,26
all,merge_to_one,10,0.5,0.5,0.5,0.7561080235150701,10,26
all,raw_led_refined,10,0.23062095383797412,0.01449504654763445,0.12309620467345891,0.6350165477081268,50,26
all,raw_v3_warp,10,0.20385983278127578,0.011576647955601808,0.09940936443363477,0.631075209915698,39,26
all,selective_hybrid_v4_smooth,10,0.7486908754958582,0.9273499647357817,0.639680995293735,0.8477008189059161,27,26
all,watershed_raw_led_seed,10,0.23227286821522006,0.014205142644990208,0.1261645396772259,0.6342780149257619,50,26
all,watershed_raw_seed,10,0.20728721241892875,0.011385402198127758,0.1003376306661822,0.6318555870239206,39,26
complex_gt_gt1,hybrid_raw_infra,5,0.48705262982929537,0.5411282024745199,0.3731349093076698,0.6345781868117186,18,21
complex_gt_gt1,infra_candidate,5,0.2413259983449096,0.1761925267491309,0.24562338091177666,0.4430979302570801,38,21
complex_gt_gt1,infra_candidate_coarse,5,0.2874342221675018,0.22880462442174584,0.2565441866445301,0.49468882516551355,21,21
complex_gt_gt1,mean_shift_watershed,5,0.41570232101660254,0.4028203110168788,0.1977704928413638,0.6420108360846483,17,21
complex_gt_gt1,merge_to_one,5,0.0,0.0,0.0,0.5122160470302647,5,21
complex_gt_gt1,raw_led_refined,5,0.46124190767594825,0.5510672191442332,0.24619240934691783,0.6747921103052973,22,21
complex_gt_gt1,raw_v3_warp,5,0.40771966556255157,0.40533557366878026,0.19881872886726953,0.640316596941682,18,21
complex_gt_gt1,selective_hybrid_v4_smooth,5,0.4973817509917165,0.6148295401567038,0.27936199058747013,0.6954016378119567,22,21
complex_gt_gt1,watershed_raw_led_seed,5,0.4645457364304401,0.54665958528751,0.2523290793544518,0.6755308739918122,22,21
complex_gt_gt1,watershed_raw_seed,5,0.4145744248378575,0.4028203110168788,0.2006752613323644,0.6417845808515104,18,21
single_gt,hybrid_raw_infra,5,0.0,0.0,0.0,0.5162635853339423,21,5
single_gt,infra_candidate,5,0.0,0.0,0.0,0.2925634645118779,40,5
single_gt,infra_candidate_coarse,5,0.0,0.0,0.0,0.3789403407926382,21,5
single_gt,mean_shift_watershed,5,0.0,0.0,0.0,0.591224376696895,25,5
single_gt,merge_to_one,5,1.0,1.0,1.0,0.9999999999998754,5,5
single_gt,raw_led_refined,5,0.0,0.0,0.0,0.5952409851109561,28,5
single_gt,raw_v3_warp,5,0.0,0.0,0.0,0.6218338228897141,21,5
single_gt,selective_hybrid_v4_smooth,5,1.0,1.0,1.0,0.9999999999998754,5,5
single_gt,watershed_raw_led_seed,5,0.0,0.0,0.0,0.5930251558597114,28,5
single_gt,watershed_raw_seed,5,0.0,0.0,0.0,0.621926593196331,21,5
