feature,coef,boundary_weight
intercept,4.978074090592744,
z_ndg,-3.1674305814287402,
z_ndg2,-0.25462134094710115,
z_iqr,1.2247751757227994,
z_wb1,-0.40159622479942353,
z_wb2,-0.22906430268807226,
z_ndg_wb1,0.022790398117816656,
z_ndg_wb2,0.03511706967631518,
theta_layer_ge_2,0.9897531141752439,1.0
theta_layer_ge_3,2.779102884517342,1.4
theta_layer_ge_4,4.444661978430004,1.5
theta_layer_ge_6,6.4521965573136715,1.0
theta_layer_ge_7,9.015740344494333,1.4
