complexity,method,blocks,ari_mean,ari_median,boundary_f1_mean,cover_gt_mean,pred_regions_total,gt_regions_total
all,hybrid_raw_infra,10,0.2434933581535914,0.022043104001608627,0.18627916380494278,0.5754174039790649,39,26
all,infra_candidate,10,0.12066743698199996,0.03124180994812202,0.12280255321074682,0.3678449850419205,78,26
all,infra_candidate_coarse,10,0.14369854753990458,0.024154479912022988,0.12823802884555172,0.43682103251383475,42,26
all,infra_coarse_t2,10,0.07541898254913916,0.0,0.09615646409333276,0.6479292546061286,20,26
all,infra_coarse_t3,10,0.10493160887750022,0.0,0.09641577455543483,0.5657993038066758,30,26
all,infra_coarse_t4,10,0.09062372166326067,0.0,0.10387022667716203,0.5015681746823437,40,26
all,mean_shift_watershed,10,0.20782214190713807,0.014228332167571262,0.09886708037759895,0.6166165906035638,42,26
all,merge_to_one,10,0.5,0.5,0.5,0.7561249258456278,10,26
all,raw_canny_lcorr_closed,10,0.40889046785086497,0.3071261101049003,0.30100960527803167,0.8287150080663975,22,26
all,raw_canny_recall_clean,10,0.20415665987557646,0.0,0.11398573113422708,0.4421946674544124,99,26
all,raw_canny_union_closed,10,0.23789318768352247,0.0,0.10837475060333764,0.5999380732145978,57,26
all,raw_canny_vote3,10,0.4899878334897843,0.44786349425191907,0.4223736108813208,0.7866083272847059,40,26
all,raw_led_refined,10,0.23059000934526472,0.014507583357082592,0.12307528597100885,0.635016373853912,50,26
all,raw_led_weakmerge,10,0.22752656873514548,0.014507583357082592,0.11334517940708067,0.6388417421760504,42,26
all,raw_v3_warp,10,0.20382962932745746,0.011599237025800572,0.09933770513314351,0.6310740528358737,39,26
all,selective_hybrid_v4_smooth,10,0.9028822741063489,0.9600199953584243,0.7212934112035009,0.9310473200736687,23,26
all,watershed_raw_led_seed,10,0.23224418134568653,0.014228332167571262,0.1261424131831527,0.6342788774111208,50,26
all,watershed_raw_seed,10,0.20725804821768276,0.01140786372029471,0.10031946462309924,0.6318545513884282,39,26
complex_gt_gt1,hybrid_raw_infra,5,0.4869867163071828,0.5410699996322298,0.37255832760988555,0.6345712226241876,18,21
complex_gt_gt1,infra_candidate,5,0.2413348739639999,0.17620338208696174,0.24560510642149364,0.443114114382099,38,21
complex_gt_gt1,infra_candidate_coarse,5,0.28739709507980915,0.22879274826597287,0.25647605769110343,0.49468933304516743,21,21
complex_gt_gt1,infra_coarse_t2,5,0.15083796509827832,0.02897950926918204,0.1923129281866655,0.5439569066912038,10,21
complex_gt_gt1,infra_coarse_t3,5,0.20986321775500044,0.2528246818857502,0.19283154911086967,0.5299081553278988,15,21
complex_gt_gt1,infra_coarse_t4,5,0.18124744332652135,0.2346650978839421,0.20774045335432406,0.47049180830216003,20,21
complex_gt_gt1,mean_shift_watershed,5,0.41564428381427615,0.4027514502473894,0.1977341607551979,0.6420088045102326,17,21
complex_gt_gt1,merge_to_one,5,0.0,0.0,0.0,0.5122498516913803,5,21
complex_gt_gt1,raw_canny_lcorr_closed,5,0.4177809357017299,0.3666975511493515,0.20201921055606334,0.6729480985383807,14,21
complex_gt_gt1,raw_canny_recall_clean,5,0.4083133197511529,0.41804011542255065,0.22797146226845416,0.6571558976778957,31,21
complex_gt_gt1,raw_canny_union_closed,5,0.47578637536704493,0.4891783446981264,0.21674950120667527,0.7131149511441366,23,21
complex_gt_gt1,raw_canny_vote3,5,0.3799756669795685,0.2475546690604491,0.2447472217626417,0.633326889958679,29,21
complex_gt_gt1,raw_led_refined,5,0.46118001869052944,0.5510033931786289,0.2461505719420177,0.6747917625968677,22,21
complex_gt_gt1,raw_led_weakmerge,5,0.45505313747029097,0.5290243893796428,0.22669035881416133,0.6789459703275404,17,21
complex_gt_gt1,raw_v3_warp,5,0.4076592586549149,0.40526706022004166,0.19867541026628702,0.6403142827820332,18,21
complex_gt_gt1,selective_hybrid_v4_smooth,5,0.8057645482126979,0.8028553830607944,0.44258682240700165,0.8620946401474621,18,21
complex_gt_gt1,watershed_raw_led_seed,5,0.46448836269137306,0.546595958348609,0.2522848263663054,0.6755325989625302,22,21
complex_gt_gt1,watershed_raw_seed,5,0.4145160964353655,0.4027514502473894,0.20063892924619847,0.6417825095805255,18,21
single_gt,hybrid_raw_infra,5,0.0,0.0,0.0,0.5162635853339423,21,5
single_gt,infra_candidate,5,0.0,0.0,0.0,0.292575855701742,40,5
single_gt,infra_candidate_coarse,5,0.0,0.0,0.0,0.37895273198250223,21,5
single_gt,infra_coarse_t2,5,0.0,0.0,0.0,0.7519016025210534,10,5
single_gt,infra_coarse_t3,5,0.0,0.0,0.0,0.6016904522854526,15,5
single_gt,infra_coarse_t4,5,0.0,0.0,0.0,0.5326445410625273,20,5
single_gt,mean_shift_watershed,5,0.0,0.0,0.0,0.591224376696895,25,5
single_gt,merge_to_one,5,1.0,1.0,1.0,0.9999999999998754,5,5
single_gt,raw_canny_lcorr_closed,5,0.4,0.0,0.4,0.9844819175944142,8,5
single_gt,raw_canny_recall_clean,5,0.0,0.0,0.0,0.22723343723092898,68,5
single_gt,raw_canny_union_closed,5,0.0,0.0,0.0,0.48676119528505907,34,5
single_gt,raw_canny_vote3,5,0.6,1.0,0.6,0.9398897646107326,11,5
single_gt,raw_led_refined,5,0.0,0.0,0.0,0.5952409851109561,28,5
single_gt,raw_led_weakmerge,5,0.0,0.0,0.0,0.5987375140245603,25,5
single_gt,raw_v3_warp,5,0.0,0.0,0.0,0.6218338228897141,21,5
single_gt,selective_hybrid_v4_smooth,5,1.0,1.0,1.0,0.9999999999998754,5,5
