raw_file,infra_file,raw_id,infra_id,auto_mask_cost,auto_mask_iou,reg_iou,decision,final_reason,raw_regions,infra_candidate_regions,infra_highsens_regions,infra_t2_regions,infra_t3_regions,infra_t4_regions,hybrid_regions,hybrid_source,raw_led_regions,raw_led_source,raw_led_weakmerge_regions,raw_led_weakmerge_merges,watershed_regions,watershed_source,raw_score,infra_score,infra_highsens_score,infra_t2_score,infra_t3_score,infra_t4_score,hybrid_score,raw_led_score,raw_led_weakmerge_score,watershed_score,watershed_raw_score,watershed_raw_led_score,hybrid_q4_score,hybrid_candidate_score,raw_led_q4_score,raw_led_candidate_score,infra_bgrad,raw_canny_selected,raw_canny_final_reason,final_raw_channel_score,raw_canny_selected_score,raw_canny_vote3_regions,raw_canny_vote3_raw_channel_score,raw_canny_vote3_edge_support,raw_canny_lcorr_closed_regions,raw_canny_lcorr_closed_raw_channel_score,raw_canny_lcorr_closed_edge_support,raw_canny_union_closed_regions,raw_canny_union_closed_raw_channel_score,raw_canny_union_closed_edge_support,raw_canny_recall_clean_regions,raw_canny_recall_clean_raw_channel_score,raw_canny_recall_clean_edge_support
pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,0.12259259259291755,0.7999672703468906,0.8222029957280689,hybrid_raw_infra,hybrid_improves_two_region_raw,2,5,23,2,3,4,2,infra_q4,2,infra_candidate,2,0,2,raw_seed,0.5899077377008143,0.38545726015854676,2.0288827443446413,0.8398275450163954,0.8262235943943435,0.7929256073573182,0.4398775898325361,0.5916369430715724,0.5916369430715724,0.5884398610486616,0.5884398610486616,0.5900955578397998,0.4398775898325361,0.5327065635841423,0.6724563073780566,0.5916369430715724,1.3677186965942383,,no_raw_canny_candidate_passed_gate,0.48134502673044044,0.48134502673044044,11,0.7059966143871075,0.796828543111992,2,0.3592111021213107,1.0,1,0.9999858924914051,0.0,1,0.9999858924914051,0.0
pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,0.04780361757146945,0.9443967490842221,0.9449177097820775,raw_canny_multichannel,raw_canny_multichannel_raw_canny_vote3,2,7,20,2,3,4,2,infra_q4,3,infra_q4,3,0,2,raw_seed,0.6006362950072579,0.8460221753154771,2.0629608248926874,0.941127677493951,0.5558445944142671,0.6097609043095653,0.5076055038013495,0.5909466733077321,0.5909466733077321,0.5683511938582991,0.5683511938582991,0.5701862230602045,0.5076055038013495,0.5076055038013495,0.5909466733077321,0.5909466733077321,1.4994844198226929,raw_canny_vote3,raw_canny_vote3_raw_channel_score_improved,0.6060821212495463,0.5729140261838979,4,0.5729140261838979,0.916095890410959,4,0.6983002384376845,0.9913169319826338,5,0.5409666349766566,0.9307875894988067,5,0.5666264477466345,0.9282178217821783
pair_003_raw_png.rf.1a1932f6e5738ebd6ba2ff488ecf72b7.jpg,pair_003_infra_png.rf.d1dad70341604e75e9730a67bbc89c6d.jpg,9,10,0.08356545961039252,0.8231514929809132,0.8380258519388758,raw_canny_multichannel,raw_canny_multichannel_raw_canny_lcorr_closed,5,10,28,2,3,4,5,infra_candidate,8,infra_candidate,5,3,5,raw_seed,1.0495960641503073,0.5872272432621392,2.855824054274633,0.8119082843106858,0.85252960239207,0.8916915478633275,0.7305206179800511,1.1990297440262365,0.9593866229766098,1.0483758691198446,1.0483758691198446,1.1979104486546563,0.898370472588603,0.7305206179800511,1.205850422631606,1.1990297440262365,1.5554250478744507,raw_canny_lcorr_closed,raw_canny_lcorr_closed_raw_channel_score_improved,0.7144640780556752,0.6686246001952685,11,0.8495846600889297,0.9367469879518072,5,0.6686246001952685,0.9971671388101983,10,0.8927726832101905,0.8792359827479975,18,0.9992741777229984,0.8533627342888643
pair_004_raw_png.rf.bf8ad0670b2ddba44de804f783ddc7a7.jpg,pair_004_infra_png.rf.b159fad312a1c04302ff812ba6e5bcfb.jpg,5,4,0.24811676082897927,0.791896085694244,0.7913755485278422,merge_to_one,merge_to_one_low_raw_score_weak_infra_boundary,3,6,18,2,3,4,3,infra_q4,4,infra_q4,3,1,4,raw_led_seed,0.7837311715033087,0.474412704791463,1.3711721350020567,0.8944043698556359,0.8568858930513087,0.8536917699942139,0.7923000893946412,0.3336668119349591,0.29587097183863226,0.3304523498211029,0.7801659558302197,0.3304523498211029,0.7923000893946412,0.8503130085321357,0.3336668119349591,0.342872767444356,1.571932315826416,,blocked_merge_to_one,0.9999749348777501,0.9999749348777501,1,0.9999749348777501,0.0,1,0.9999749348777501,0.0,5,0.6287982527459242,0.9838709677419355,18,1.0301921133512342,0.904551201011378
pair_005_raw_png.rf.92da4ee7ee1823abf6f55a7448fe75d2.jpg,pair_005_infra_png.rf.714cab1ab06e457ffae5b311f629e9b3.jpg,16,1,0.07092461938393202,0.9039549881547478,0.9053902856390382,merge_to_one,merge_to_one_low_raw_score_weak_infra_boundary,6,5,18,2,3,4,6,infra_candidate,8,infra_q4,7,1,6,raw_seed,0.8644579359817604,0.526581032793952,1.5677679349504856,0.5969086511587026,0.5962768653382644,0.6263666677737133,0.5706338559633017,1.1718943598642988,1.027099437159091,0.8619165803420452,0.8619165803420452,1.1679272037922308,0.5905828899847504,0.5706338559633017,1.1718943598642988,1.2081145135638953,1.3311240673065186,,blocked_merge_to_one,0.9999784668390999,0.9999784668390999,1,0.9999784668390999,0.0,1,0.9999784668390999,0.0,3,0.9434447697168872,0.8951310861423221,14,0.854588969780575,0.9014084507042254
pair_006_raw_png.rf.f409c7498bbd90cdae0508f9fcf3d5d9.jpg,pair_006_infra_png.rf.0b99e290142c63bd176e4c5e5d9436ec.jpg,0,6,0.12308951965089432,0.9719137434631738,0.9056141067935523,raw_canny_multichannel,raw_canny_multichannel_raw_canny_recall_clean,4,5,27,2,3,4,4,infra_candidate,3,infra_candidate,3,0,3,raw_led_seed,1.2947800518246673,0.5124742993946589,2.661828011656204,0.9498777058947211,0.7294404781869107,0.7193553917493448,0.4164401928864945,1.098301711783637,1.098301711783637,1.0868139996520505,1.2804405164875663,1.0868139996520505,0.5269206150494506,0.4164401928864945,1.1509566613678233,1.098301711783637,1.3291627168655396,raw_canny_recall_clean,raw_canny_recall_clean_raw_channel_score_improved,1.0774521344714774,0.6819296472040085,1,0.9999760759351488,0.0,1,0.9999760759351488,0.0,2,0.6829571931346959,0.9565217391304348,2,0.6819296472040085,0.9232283464566929
pair_007_raw_png.rf.2caafe031e01aec9c5a356bcd065c8c8.jpg,pair_007_infra_png.rf.dfd9dd18142abe61c33d90f420eea441.jpg,2,12,0.15091946734359485,0.7858584160080052,0.867878888981494,merge_to_one,merge_to_one_low_raw_score_weak_infra_boundary,3,8,17,2,3,4,3,infra_q4,4,infra_candidate,4,0,4,raw_led_seed,0.8743669737179384,0.7797575878864631,1.429835561914525,0.9463957915986354,0.978242235197815,0.9112395686109042,0.5557957010722757,0.6498808043570299,0.6498808043570299,0.6648279247056409,0.8900635382447226,0.6648279247056409,0.5557957010722757,0.5589608605929238,0.9792227601967323,0.6498808043570299,1.397378921508789,,blocked_merge_to_one,0.9999819367300988,0.9999819367300988,1,0.9999819367300988,0.0,2,0.9788939525174015,1.0,6,0.7083881279060529,0.9545454545454546,13,0.8180568705148316,0.87291280148423
pair_009_raw_png.rf.108261cb59747a61952774d136cc2b44.jpg,pair_009_infra_png.rf.f80bba86dfc5b4558ffe3882bcfb88cc.jpg,19,14,0.16415410385329632,0.908730158730082,0.8676068752753753,merge_to_one,merge_to_one_low_raw_score_weak_infra_boundary,3,12,19,2,3,4,3,infra_q4,5,infra_q4,5,0,5,raw_led_seed,0.9213758556221201,0.9726728759638288,1.803279961167592,0.931303675720235,0.844388380534604,0.8958744388353557,0.8539554213887133,0.8680861187394999,0.8680861187394999,0.8627483222298038,0.9181934213495454,0.8627483222298038,0.8539554213887133,0.9205652450432038,0.8680861187394999,0.9984657244382005,1.2117522954940796,,blocked_merge_to_one,0.9999802153945604,0.9999802153945604,2,0.936936177282008,0.95,2,0.9480907163399973,1.0,12,0.6879536957554354,0.9623015873015873,18,0.8663606238416405,0.9619860356865787
pair_010_raw_png.rf.d4eeff25dccbeedaeb2843b954922c3b.jpg,pair_010_infra_png.rf.77d98e3849059fdb2291c0b46a9beed9.jpg,17,15,0.07190082644666451,0.9052985288693642,0.8878539036646285,merge_to_one,merge_to_one_low_raw_score_weak_infra_boundary,6,9,20,2,3,4,6,infra_q4,7,infra_q4,6,1,6,raw_seed,0.947419159155434,0.6962649710047327,1.828714614055738,0.6709724672942667,0.45715155599542245,0.4508312254165372,0.4979581905064977,0.9596765728567286,0.9208618654127478,0.9535083643414917,0.9535083643414917,0.9536165288060284,0.4979581905064977,0.4979581905064977,0.9596765728567286,0.9596765728567286,1.4937100410461426,,blocked_merge_to_one,0.9999742535923636,0.9999742535923636,6,0.9418122488000715,0.8503703703703703,2,0.9953511098112261,1.0,8,0.8738299831400639,0.8475378787878788,5,0.8366824117489762,0.8132530120481928
pair_011_raw_png.rf.5265d4a8b08817dfa2b322bd35d5d3a0.jpg,pair_011_infra_png.rf.e5d9780f7acea2009f7c4d4d3d304838.jpg,3,8,0.23892697466494217,0.8560746846236067,0.822861881587831,raw_canny_multichannel,raw_canny_multichannel_raw_canny_recall_clean,5,11,23,2,3,4,5,infra_q4,6,infra_candidate,4,2,5,raw_seed,0.7814125745692575,0.6893714547983838,1.9562145431004097,0.7738223817203325,0.7291139007435607,0.770383992244372,0.7949269396420559,0.7831513619997408,0.7429710537888446,0.7743713933359465,0.7743713933359465,0.7790186062225435,0.7949269396420559,0.8144104251339328,0.8668371024147734,0.7831513619997408,3.1116318702697754,raw_canny_recall_clean,raw_canny_recall_clean_raw_channel_score_improved,0.4962486501318629,0.32848165214246544,2,0.5587173746758902,0.0,2,0.5587173746758902,0.0,5,0.35802327993065514,0.8539576365663322,5,0.32848165214246544,0.9897523484201537
