complexity,method,blocks,ari_mean,ari_median,boundary_f1_mean,cover_gt_mean,pred_regions_total,gt_regions_total
all,hybrid_raw_infra,10,0.24352631491464768,0.022040679890831597,0.1865674546538349,0.5727629758470012,39,26
all,infra_candidate,10,0.1216973335503164,0.031233448175150197,0.11559117648030737,0.41006177750019307,68,26
all,infra_candidate_coarse,10,0.12529989414517045,0.0,0.11508064114877889,0.47634623250577623,37,26
all,mean_shift_watershed,10,0.20785116050830127,0.014205142644990208,0.0988852464206819,0.6166176063907716,42,26
all,merge_to_one,10,0.5,0.5,0.5,0.7561080235150701,10,26
all,raw_led_refined,10,0.23093668630885525,0.01449504654763445,0.12184385631922803,0.6351472473937746,50,26
all,raw_v3_warp,10,0.20385983278127578,0.011576647955601808,0.09940936443363477,0.631075209915698,39,26
all,selective_hybrid_v4_smooth,10,0.7486908754958582,0.9273499647357817,0.639680995293735,0.8477008189059161,27,26
all,watershed_raw_led_seed,10,0.23284737579121226,0.014205142644990208,0.125389409342682,0.6345138610429883,50,26
all,watershed_raw_seed,10,0.20728721241892875,0.011385402198127758,0.1003376306661822,0.6318555870239206,39,26
complex_gt_gt1,hybrid_raw_infra,5,0.48705262982929537,0.5411282024745199,0.3731349093076698,0.6345781868117186,18,21
complex_gt_gt1,infra_candidate,5,0.2433946671006328,0.22102707017490217,0.23118235296061473,0.4842299544988548,34,21
complex_gt_gt1,infra_candidate_coarse,5,0.2505997882903409,0.21064312292266554,0.23016128229755778,0.5448775575002447,18,21
complex_gt_gt1,mean_shift_watershed,5,0.41570232101660254,0.4028203110168788,0.1977704928413638,0.6420108360846483,17,21
complex_gt_gt1,merge_to_one,5,0.0,0.0,0.0,0.5122160470302647,5,21
complex_gt_gt1,raw_led_refined,5,0.4618733726177105,0.5510672191442332,0.24368771263845607,0.6750535096765932,22,21
complex_gt_gt1,raw_v3_warp,5,0.40771966556255157,0.40533557366878026,0.19881872886726953,0.640316596941682,18,21
complex_gt_gt1,selective_hybrid_v4_smooth,5,0.4973817509917165,0.6148295401567038,0.27936199058747013,0.6954016378119567,22,21
complex_gt_gt1,watershed_raw_led_seed,5,0.4656947515824245,0.54665958528751,0.250778818685364,0.6760025662262654,22,21
complex_gt_gt1,watershed_raw_seed,5,0.4145744248378575,0.4028203110168788,0.2006752613323644,0.6417845808515104,18,21
single_gt,hybrid_raw_infra,5,0.0,0.0,0.0,0.5109477648822839,21,5
single_gt,infra_candidate,5,0.0,0.0,0.0,0.33589360050153144,34,5
single_gt,infra_candidate_coarse,5,0.0,0.0,0.0,0.40781490751130783,19,5
single_gt,mean_shift_watershed,5,0.0,0.0,0.0,0.591224376696895,25,5
single_gt,merge_to_one,5,1.0,1.0,1.0,0.9999999999998754,5,5
single_gt,raw_led_refined,5,0.0,0.0,0.0,0.5952409851109561,28,5
single_gt,raw_v3_warp,5,0.0,0.0,0.0,0.6218338228897141,21,5
single_gt,selective_hybrid_v4_smooth,5,1.0,1.0,1.0,0.9999999999998754,5,5
single_gt,watershed_raw_led_seed,5,0.0,0.0,0.0,0.5930251558597114,28,5
single_gt,watershed_raw_seed,5,0.0,0.0,0.0,0.621926593196331,21,5
