method,blocks,ari_mean,ari_median,boundary_f1_mean,cover_gt_mean,pred_regions_total,gt_regions_total
hybrid_raw_infra,10,0.24352631491464768,0.022040679890831597,0.1865674546538349,0.5727629758470012,39,26
infra_candidate,10,0.1216973335503164,0.031233448175150197,0.11559117648030737,0.41006177750019307,68,26
infra_candidate_coarse,10,0.12529989414517045,0.0,0.11508064114877889,0.47634623250577623,37,26
mean_shift_watershed,10,0.20785116050830127,0.014205142644990208,0.0988852464206819,0.6166176063907716,42,26
merge_to_one,10,0.5,0.5,0.5,0.7561080235150701,10,26
raw_led_refined,10,0.23093668630885525,0.01449504654763445,0.12184385631922803,0.6351472473937746,50,26
raw_v3_warp,10,0.20385983278127578,0.011576647955601808,0.09940936443363477,0.631075209915698,39,26
selective_hybrid_v4_smooth,10,0.7486908754958582,0.9273499647357817,0.639680995293735,0.8477008189059161,27,26
watershed_raw_led_seed,10,0.23284737579121226,0.014205142644990208,0.125389409342682,0.6345138610429883,50,26
watershed_raw_seed,10,0.20728721241892875,0.011385402198127758,0.1003376306661822,0.6318555870239206,39,26
