method,raw_file,infra_file,raw_image_id,infra_image_id,raw_block,infra_block,reg_iou,decision,gt_regions,pred_regions,ari,cover_gt,cover_pred,boundary_precision,boundary_recall,boundary_f1,eval_area,raw_regions,infra_candidate_regions,raw_score,infra_score,auto_mask_iou
raw_v3_warp,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222666810857131,raw,2,2,0.6602995132678486,0.8678100244789447,0.8481058678294553,0.05037783375302172,0.05128205128191979,0.050825920719732506,15207,2,2,0.5904042951985966,0.4964811584043551,0.8000218197686668
merge_to_one,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222666810857131,one,2,1,0.0,0.7397850696316286,0.8462550141381145,0.0,0.0,0.0,15207,2,2,0.5904042951985966,0.4964811584043551,0.8000218197686668
infra_candidate,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222666810857131,infra,2,2,0.09561188055104657,0.5482725018637739,0.4688998914794255,0.03465909090907122,0.15897435897395135,0.05691069115137688,15207,2,2,0.5904042951985966,0.4964811584043551,0.8000218197686668
infra_candidate_coarse,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222666810857131,infra_coarse,2,1,0.0,0.7397850696316286,0.8462550141381145,0.0,0.0,0.0,15207,2,2,0.5904042951985966,0.4964811584043551,0.8000218197686668
hybrid_raw_infra,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222666810857131,hybrid,2,2,0.8427016075172513,0.9402492014078196,0.937378561754113,0.6075650118188947,0.6461538461521894,0.6262655560537176,15207,2,2,0.5904042951985966,0.4964811584043551,0.8000218197686668
raw_led_refined,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222666810857131,raw_led,2,2,0.648455389776194,0.8629287843307812,0.8419248207971138,0.007614213197950218,0.007692307692287969,0.007653060724483322,15207,2,2,0.5904042951985966,0.4964811584043551,0.8000218197686668
mean_shift_watershed,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222666810857131,watershed,2,2,0.6709330296181247,0.8721642100052794,0.8535967525168234,0.01790281329918695,0.017948717948671925,0.017925735735550317,15207,2,2,0.5904042951985966,0.4964811584043551,0.8000218197686668
watershed_raw_seed,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222666810857131,watershed_raw,2,2,0.6709330296181247,0.8721642100052794,0.8535967525168234,0.01790281329918695,0.017948717948671925,0.017925735735550317,15207,2,2,0.5904042951985966,0.4964811584043551,0.8000218197686668
watershed_raw_led_seed,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222666810857131,watershed_raw_led,2,2,0.6639813545598603,0.8693205989004663,0.8500132880164164,0.007614213197950218,0.007692307692287969,0.007653060724483322,15207,2,2,0.5904042951985966,0.4964811584043551,0.8000218197686668
selective_hybrid_v4_smooth,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222666810857131,keep_raw,2,2,0.6602995132678486,0.8678100244789447,0.8481058678294553,0.05037783375302172,0.05128205128191979,0.050825920719732506,15207,2,2,0.5904042951985966,0.4964811584043551,0.8000218197686668
raw_v3_warp,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,1,1,0.9450641787152394,raw,4,2,0.7866733649861581,0.8152076048371731,0.859566895988527,0.284122562673699,0.33881578947312696,0.3090681763070951,32617,2,6,0.6006362377867989,0.7090910103294112,0.9445970695970427
