split,n,exact_acc,within1_acc,large_error_rate,mae,score_mae,macro_f1
train,381,0.6719160104986877,0.9816272965879265,0.01837270341207349,0.34908136482939633,0.5527167758814695,0.6471663504111321
test,57,0.7543859649122807,0.9824561403508771,0.017543859649122806,0.2631578947368421,0.47832036669629135,0.7520885704709235
