method,blocks,ari_mean,ari_median,boundary_f1_mean,cover_gt_mean,pred_regions_total,gt_regions_total
hybrid_raw_infra,10,0.2204466148845682,0.032628161723252044,0.17154734845181321,0.5558656498919812,37,26
infra_candidate,10,0.1216973335503164,0.031233448175150197,0.11559117648030737,0.41006177750019307,68,26
infra_candidate_coarse,10,0.12529989414517045,0.0,0.11508064114877889,0.47634623250577623,37,26
mean_shift_watershed,10,0.2153456982741105,0.007401062251853296,0.12754476052426325,0.6351954212829516,39,26
merge_to_one,10,0.5,0.5,0.5,0.7561080235150701,10,26
raw_led_refined,10,0.2142896409045237,0.004673684191619594,0.12732785504989214,0.6338588769606834,48,26
raw_v3_warp,10,0.20029368981753398,0.007222136956126766,0.10360971464662094,0.6241408339905454,37,26
selective_hybrid_v4_smooth,10,0.5626799037076353,0.6352758385457251,0.48258494619614056,0.7563676112560234,27,26
watershed_raw_led_seed,10,0.2153456982741105,0.007401062251853296,0.12754476052426325,0.6351084755047873,48,26
watershed_raw_seed,10,0.2048744780207537,0.008486614872124435,0.10721223638868346,0.6258905027133966,37,26
