method,raw_file,infra_file,raw_image_id,infra_image_id,raw_block,infra_block,reg_iou,decision,gt_regions,pred_regions,ari,cover_gt,cover_pred,boundary_precision,boundary_recall,boundary_f1,eval_area,raw_regions,infra_candidate_regions,raw_score,infra_score,auto_mask_iou
raw_v3_warp,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222666810857131,raw,2,2,0.6557221369347463,0.8659275849484793,0.8457252717174177,0.06506024096369865,0.06923076923059172,0.0670807448419305,15207,2,2,0.5979427745004388,0.4964811584043551,0.8000218197686668
merge_to_one,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222666810857131,one,2,1,0.0,0.7397850696316286,0.8462550141381145,0.0,0.0,0.0,15207,2,2,0.5979427745004388,0.4964811584043551,0.8000218197686668
infra_candidate,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222666810857131,infra,2,2,0.09561188055104657,0.5482725018637739,0.4688998914794255,0.03465909090907122,0.15897435897395135,0.05691069115137688,15207,2,2,0.5979427745004388,0.4964811584043551,0.8000218197686668
infra_candidate_coarse,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222666810857131,infra_coarse,2,1,0.0,0.7397850696316286,0.8462550141381145,0.0,0.0,0.0,15207,2,2,0.5979427745004388,0.4964811584043551,0.8000218197686668
hybrid_raw_infra,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222666810857131,hybrid,2,2,0.8380300888837748,0.9384718107196524,0.9353768093554722,0.5803357314134764,0.6205128205112295,0.599752168024476,15207,2,2,0.5979427745004388,0.4964811584043551,0.8000218197686668
raw_led_refined,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222666810857131,raw_led,2,2,0.6644428377044184,0.8695097127364562,0.8502518994958695,0.065326633165665,0.06666666666649573,0.0659898472156201,15207,2,2,0.5979427745004388,0.4964811584043551,0.8000218197686668
mean_shift_watershed,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222666810857131,watershed,2,2,0.6718647058816514,0.8725444860917848,0.8540752427287475,0.025445292620800395,0.025641025640959894,0.025542783663415926,15207,2,2,0.5979427745004388,0.4964811584043551,0.8000218197686668
watershed_raw_seed,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222666810857131,watershed_raw,2,2,0.667681051529132,0.8708353432129167,0.8519233244676713,0.025062656641541198,0.025641025640959894,0.025348541958809433,15207,2,2,0.5979427745004388,0.4964811584043551,0.8000218197686668
watershed_raw_led_seed,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222666810857131,watershed_raw_led,2,2,0.6718647058816514,0.8725444860917848,0.8540752427287475,0.025445292620800395,0.025641025640959894,0.025542783663415926,15207,2,2,0.5979427745004388,0.4964811584043551,0.8000218197686668
selective_hybrid_v4_smooth,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222666810857131,keep_raw,2,2,0.6557221369347463,0.8659275849484793,0.8457252717174177,0.06506024096369865,0.06923076923059172,0.0670807448419305,15207,2,2,0.5979427745004388,0.4964811584043551,0.8000218197686668
raw_v3_warp,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,1,1,0.9450641787152394,raw,4,3,0.7441287192035607,0.8001023677034824,0.8266387530206584,0.2877551020405227,0.42269736842035743,0.34241086988394803,32617,3,6,0.7137482895733572,0.7090910103294112,0.9445970695970427
merge_to_one,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,1,1,0.9450641787152394,one,4,1,0.0,0.6050978806463968,0.7599104761320318,0.0,0.0,0.0,32617,3,6,0.7137482895733572,0.7090910103294112,0.9445970695970427
infra_candidate,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,1,1,0.9450641787152394,infra,4,6,0.22102707017490217,0.46952404842535045,0.4092309801776101,0.19732313575518268,0.621710526314767,0.2995673465351998,32617,3,6,0.7137482895733572,0.7090910103294112,0.9445970695970427
infra_candidate_coarse,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,1,1,0.9450641787152394,infra_coarse,4,3,0.3792328095843135,0.5919941123539398,0.5427838112185543,0.31253785584475313,0.621710526314767,0.4159666280468215,32617,3,6,0.7137482895733572,0.7090910103294112,0.9445970695970427
hybrid_raw_infra,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,1,1,0.9450641787152394,hybrid,4,3,0.42799849630588777,0.6166902136912009,0.5653902083233224,0.2789165446557255,0.6118421052621515,0.3831630166010866,32617,3,6,0.7137482895733572,0.7090910103294112,0.9445970695970427
raw_led_refined,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,1,1,0.9450641787152394,raw_led,4,4,0.7202143186059796,0.7841106708802846,0.7487264674302163,0.381566820276146,0.6628289473673309,0.4843250833205432,32617,3,6,0.7137482895733572,0.7090910103294112,0.9445970695970427
mean_shift_watershed,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,1,1,0.9450641787152394,watershed,4,4,0.7150510269043685,0.782736941694207,0.7443340487770438,0.42066420664167836,0.6726973684199462,0.5176324300980777,32617,3,6,0.7137482895733572,0.7090910103294112,0.9445970695970427
watershed_raw_seed,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,1,1,0.9450641787152394,watershed_raw,4,3,0.7649521897460473,0.8075705836774634,0.829952156511063,0.3748395378685817,0.4588815789466137,0.4126246902309634,32617,3,6,0.7137482895733572,0.7090910103294112,0.9445970695970427
watershed_raw_led_seed,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,1,1,0.9450641787152394,watershed_raw_led,4,4,0.7150510269043685,0.782736941694207,0.7443340487770438,0.42066420664167836,0.6726973684199462,0.5176324300980777,32617,3,6,0.7137482895733572,0.7090910103294112,0.9445970695970427
selective_hybrid_v4_smooth,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,1,1,0.9450641787152394,merge_to_one,4,1,0.0,0.6050978806463968,0.7599104761320318,0.0,0.0,0.0,32617,3,6,0.7137482895733572,0.7090910103294112,0.9445970695970427
