complexity,method,blocks,ari_mean,ari_median,boundary_f1_mean,cover_gt_mean,pred_regions_total,gt_regions_total
all,hybrid_raw_infra,10,0.2204466148845682,0.032628161723252044,0.17154734845181321,0.5558656498919812,37,26
all,infra_candidate,10,0.1216973335503164,0.031233448175150197,0.11559117648030737,0.41006177750019307,68,26
all,infra_candidate_coarse,10,0.12529989414517045,0.0,0.11508064114877889,0.47634623250577623,37,26
all,mean_shift_watershed,10,0.2153456982741105,0.007401062251853296,0.12754476052426325,0.6351954212829516,39,26
all,merge_to_one,10,0.5,0.5,0.5,0.7561080235150701,10,26
all,raw_led_refined,10,0.2142896409045237,0.004673684191619594,0.12732785504989214,0.6338588769606834,48,26
all,raw_v3_warp,10,0.20029368981753398,0.007222136956126766,0.10360971464662094,0.6241408339905454,37,26
all,selective_hybrid_v4_smooth,10,0.5626799037076353,0.6352758385457251,0.48258494619614056,0.7563676112560234,27,26
all,watershed_raw_led_seed,10,0.2153456982741105,0.007401062251853296,0.12754476052426325,0.6351084755047873,48,26
all,watershed_raw_seed,10,0.2048744780207537,0.008486614872124435,0.10721223638868346,0.6258905027133966,37,26
complex_gt_gt1,hybrid_raw_infra,5,0.4408932297691364,0.42799849630588777,0.34309469690362643,0.6063193967571889,18,21
complex_gt_gt1,infra_candidate,5,0.2433946671006328,0.22102707017490217,0.23118235296061473,0.4842299544988548,34,21
complex_gt_gt1,infra_candidate_coarse,5,0.2505997882903409,0.21064312292266554,0.23016128229755778,0.5448775575002447,18,21
complex_gt_gt1,mean_shift_watershed,5,0.430691396548221,0.409936039378728,0.2550895210485265,0.6590667963629064,19,21
complex_gt_gt1,merge_to_one,5,0.0,0.0,0.0,0.5122160470302647,5,21
complex_gt_gt1,raw_led_refined,5,0.4285792818090474,0.405591070306442,0.25465571009978427,0.6586505197721285,19,21
complex_gt_gt1,raw_v3_warp,5,0.40058737963506796,0.4024142450842425,0.20721942929324189,0.6373961728639058,18,21
complex_gt_gt1,selective_hybrid_v4_smooth,5,0.3253598074152707,0.3418030860726501,0.16516989239228105,0.6439960169853741,18,21
complex_gt_gt1,watershed_raw_led_seed,5,0.430691396548221,0.409936039378728,0.2550895210485265,0.6590667963629064,19,21
complex_gt_gt1,watershed_raw_seed,5,0.4097489560415074,0.40943939438103677,0.21442447277736693,0.6403082649454285,18,21
single_gt,hybrid_raw_infra,5,0.0,0.0,0.0,0.5054119030267734,19,5
single_gt,infra_candidate,5,0.0,0.0,0.0,0.33589360050153144,34,5
single_gt,infra_candidate_coarse,5,0.0,0.0,0.0,0.40781490751130783,19,5
single_gt,mean_shift_watershed,5,0.0,0.0,0.0,0.6113240462029967,20,5
single_gt,merge_to_one,5,1.0,1.0,1.0,0.9999999999998754,5,5
single_gt,raw_led_refined,5,0.0,0.0,0.0,0.6090672341492385,29,5
single_gt,raw_v3_warp,5,0.0,0.0,0.0,0.610885495117185,19,5
single_gt,selective_hybrid_v4_smooth,5,0.8,1.0,0.8,0.8687392055266725,9,5
single_gt,watershed_raw_led_seed,5,0.0,0.0,0.0,0.6111501546466682,29,5
single_gt,watershed_raw_seed,5,0.0,0.0,0.0,0.6114727404813648,19,5
