split,n,exact_acc,within1_acc,large_error_rate,mae,score_mae,macro_f1
train,212,0.7688679245283019,0.9858490566037735,0.014150943396226415,0.24528301886792453,0.3470712119969386,0.7716872362589826
test,29,0.8620689655172413,1.0,0.0,0.13793103448275862,0.2582050454031086,0.8574213311055416
